Store_Ratio,Basket_Ratio,Store_Score
0.407,0.0038,-35.865
0.2339999999999999,0.105,-19.884
0.6679999999999999,0.726,-7.512
0.184,0.00561,-34.357
0.231,0.131,-22.842
0.7559999999999999,0.609,-7.927
0.3979999999999999,0.0336,-30.369
0.7170000000000001,0.6990000000000001,-5.665
0.419,0.574,-12.220999999999998
0.705,0.221,-11.474
0.802,0.591,-4.895
0.532,0.0872,-20.407
0.54,0.1989999999999999,-11.078
0.494,0.913,-7.94
0.648,0.939,-3.818
0.373,0.1119999999999999,-22.063
0.669,0.6729999999999999,-9.754
0.758,0.7959999999999999,-6.483
0.107,0.183,-19.139
0.41,0.478,-7.778
0.609,0.949,-4.195
0.233,0.124,-19.757
0.502,0.924,-6.299
0.5429999999999999,0.365,-12.973
0.497,0.8009999999999999,-6.613
0.497,0.3989999999999999,-9.463
0.5529999999999999,0.6659999999999999,-6.1370000000000005
0.168,0.0742,-23.933000000000003
0.614,0.614,-11.339
0.7440000000000001,0.519,-6.218999999999999
0.25,0.00664,-36.729
0.596,0.324,-16.706
0.64,0.926,-5.597
0.325,0.664,-4.45
0.762,0.5529999999999999,-6.5520000000000005
0.4529999999999999,0.206,-10.764
0.628,0.698,-5.608
0.381,0.257,-9.179
0.784,0.204,-11.383
0.73,0.439,-9.864
0.304,0.0483,-29.533
0.703,0.8340000000000001,-5.4910000000000005
0.506,0.693,-7.265
0.472,0.0361,-27.596
0.354,0.982,-3.026
0.462,0.374,-12.069
0.419,0.938,-3.12
0.497,0.757,-4.189
0.889,0.863,-3.011
0.731,0.573,-10.059
0.282,0.0901,-22.603
0.813,0.633,-8.645
0.0857,0.0033399999999999,-35.427
0.78,0.603,-5.766
0.433,0.0437,-24.025
0.364,0.00547,-30.853
0.6409999999999999,0.81,-4.516
0.41,0.2339999999999999,-15.236
0.478,0.98,-2.591
0.149,0.0994,-23.041
0.3929999999999999,0.256,-12.95
0.758,0.7,-8.771
0.473,0.432,-10.362
0.68,0.716,-3.571
0.486,0.382,-6.183
0.528,0.856,-4.605
0.3879999999999999,0.143,-17.545
0.467,0.186,-18.418
0.455,0.178,-19.848
0.0866,0.996,-20.379
