Store_Ratio,Basket_Ratio,Store_Score,Score_2,Score_3,Score_4
0.407,0.0038,-35.865,0.0988,0.11,113.911
0.2339999999999999,0.105,-19.884,0.129,0.0382,76.332
0.6679999999999999,0.726,-7.512,0.134,0.4529999999999999,124.075
0.184,0.00561,-34.357,0.111,0.0641,79.03699999999999
0.231,0.131,-22.842,0.109,0.0677,109.56
0.7559999999999999,0.609,-7.927,0.096,0.537,117.023
0.3979999999999999,0.0336,-30.369,0.13,0.612,72.166
0.7170000000000001,0.6990000000000001,-5.665,0.139,0.6890000000000001,100.147
0.419,0.574,-12.220999999999998,0.895,0.345,129.26
0.705,0.221,-11.474,0.111,0.384,84.962
0.802,0.591,-4.895,0.196,0.309,139.864
0.532,0.0872,-20.407,0.0951,0.187,131.494
0.54,0.1989999999999999,-11.078,0.114,0.25,134.125
0.494,0.913,-7.94,0.258,0.372,109.191
0.648,0.939,-3.818,0.163,0.2769999999999999,150.061
0.373,0.1119999999999999,-22.063,0.104,0.501,110.651
0.669,0.6729999999999999,-9.754,0.1639999999999999,0.867,132.68
0.758,0.7959999999999999,-6.483,0.29,0.919,145.475
0.107,0.183,-19.139,0.0912,0.0365,84.945
0.41,0.478,-7.778,0.108,0.163,80.363
0.609,0.949,-4.195,0.306,0.848,168.007
0.233,0.124,-19.757,0.126,0.061,74.747
0.502,0.924,-6.299,0.162,0.922,149.186
0.5429999999999999,0.365,-12.973,0.118,0.355,132.09799999999998
0.497,0.8009999999999999,-6.613,0.165,0.674,147.933
0.497,0.3989999999999999,-9.463,0.11,0.0917,118.9
0.5529999999999999,0.6659999999999999,-6.1370000000000005,0.357,0.895,80.195
0.168,0.0742,-23.933000000000003,0.111,0.441,96.49
0.614,0.614,-11.339,0.0561,0.557,159.971
0.7440000000000001,0.519,-6.218999999999999,0.119,0.356,89.86
0.25,0.00664,-36.729,0.111,0.0279,144.41899999999998
0.596,0.324,-16.706,0.102,0.64,170.03799999999998
0.64,0.926,-5.597,0.134,0.901,131.997
0.325,0.664,-4.45,0.187,0.367,135.88299999999998
0.762,0.5529999999999999,-6.5520000000000005,0.203,0.469,143.999
0.4529999999999999,0.206,-10.764,0.0937,0.0565,104.96
0.628,0.698,-5.608,0.0907,0.732,89.976
0.381,0.257,-9.179,0.291,0.0889,84.001
0.784,0.204,-11.383,0.0941,0.469,75.988
0.73,0.439,-9.864,0.0988,0.615,130.09
0.304,0.0483,-29.533,0.108,0.301,166.00599999999997
