Category_1,Store_Score,Score_1,Score_4,weekday
2,-35.865,0.944,113.911,5
0,-19.884,0.9,76.332,5
9,-7.512,0,124.075,5
4,-34.357,0.931,79.037,5
6,-22.842,0,109.56,5
3,-7.927,0.00474,117.023,5
10,-30.369,0.962,72.166,4
5,-5.665,0,100.147,5
4,-12.221,0.462,129.26,4
3,-11.474,0.906,84.962,4
8,-4.895,0,139.864,5
4,-20.407,0.954,131.494,5
9,-11.078,0,134.125,5
2,-7.94,0.00262,109.191,5
1,-3.818,6.18E-05,150.061,4
7,-22.063,0.914,110.651,4
7,-9.754,0.0271,132.68,0
11,-6.483,4.10E-05,145.475,5
0,-19.139,0.887,84.945,5
8,-7.778,0.868,80.363,4
7,-4.195,0,168.007,6
4,-19.757,0.917,74.747,5
4,-6.299,0,149.186,5
5,-12.973,0.914,132.098,6
7,-6.613,0.000242,147.933,6
8,-9.463,0.000719,118.9,5
11,-6.137,0.871,80.195,4
5,-23.933,0.9,96.49,4
8,-11.339,0.00174,159.971,0
11,-6.219,0,89.86,5
1,-36.729,0.883,144.419,5
2,-16.706,0.926,170.038,1
3,-5.597,2.04E-06,131.997,6
9,-4.45,0,135.883,5
8,-6.552,0,143.999,5
1,-10.764,6.42E-05,104.96,5
6,-5.608,0.00143,89.976,5
2,-9.179,0,84.001,5
0,-11.383,0.828,75.988,4
6,-9.864,0,130.09,4
9,-29.533,0.954,166.006,4
0,-5.491,1.32E-06,127.944,5
0,-7.265,9.58E-05,139.912,5
1,-27.596,0.97,74.596,5
4,-3.026,0.000294,143.772,6
11,-12.069,0.929,122.939,6
7,-3.12,0,160.151,5
11,-4.189,0,169.902,5
11,-3.011,0.000603,112.953,5
4,-10.059,5.22E-05,109.928,5
4,-22.603,0.897,74.114,2
0,-8.645,0.819,122.006,4
7,-35.427,0.853,72.621,5
0,-5.766,0,105.979,3
4,-24.025,0.957,68.152,4
10,-30.853,0.953,64.081,4
1,-4.516,0.00141,165.867,5
1,-15.236,0.00304,93.72,4
4,-2.591,2.71E-06,150.968,5
3,-23.041,0.951,138.706,4
2,-12.95,0.000937,149.625,5
8,-8.771,0.177,124.041,5
7,-10.362,0,120.014,6
10,-3.571,0.000422,83.904,6
6,-6.183,8.56E-05,125.918,0
7,-4.605,0,87.019,5
5,-17.545,0.000865,182.665,5
5,-18.418,0.941,88.52,5
3,-19.848,0.922,90.969,0
2,-20.379,0.983,76.941,6
11,-5.414,0,76.001,5
2,-12.325,0.845,159.977,5
1,-9.903,0,100.836,6
5,-4.161,0,93.926,5
5,-32.58,0.869,133.171,5
1,-18.147,0.816,88.531,1
1,-3.207,0,125.995,4
7,-6.06,0.000707,100.008,5
2,-13.046,0.899,180.715,4
11,-13.355,0.857,139.868,4
9,-5.94,0,112.065,4
11,-7.856,0.00739,126.02,5
11,-14.53,5.97E-05,132.082,5
7,-2.492,0,95.006,5
2,-4.536,1.32E-05,178.672,5
10,-4.83,0.0443,105.027,5
7,-12.77,0.000145,171.463,6
9,-5.373,0.00298,122.012,5
9,-23.773,0.925,63.085,5
4,-32.691,0.694,141.027,5
1,-5.811,0,150.014,5
7,-13.055,0.931,80.071,4
11,-6.189,0,199.861,5
11,-16.523,0.843,77.558,4
2,-7.746,0.0565,126.03,5
7,-8.891,0.621,124.992,1
9,-17.196,0.878,159.403,4
5,-30.989,0.832,93.7,1
1,-4.168,8.41E-05,104.784,5
3,-29.144,0.93,75.609,5
3,-9.214,0.0135,135.009,5
0,-18.481,0.745,109.703,5
0,-20.133,0.851,108.929,4
9,-25.053,0.843,67.904,1
8,-2.628,0.000218,108.731,5
11,-17.334,0.72,90.178,0
2,-26.368,0.906,70.875,4
1,-6.067,0.000121,157.897,6
3,-18.072,0.944,126.251,4
1,-10.729,0,125.941,5
6,-5.074,0.000273,139.954,4
2,-8.466,6.42E-06,139.979,5
6,-18.47,0.891,69.971,5
1,-25.511,0.765,70.358,5
9,-18.758,4.37E-05,77.464,5
7,-7.753,0.000641,120.058,0
2,-4.05,0.000171,117.106,6
2,-8.168,4.18E-06,76.932,5
11,-10.887,1.16E-06,91.108,6
5,-2.7,0,141.976,5
5,-8.124,0.0065,128.433,6
9,-34.734,0.779,75.239,5
6,-11.921,0.94,79.846,5
1,-37.264,0.887,170.612,6
5,-15.224,0.0177,90.574,6
0,-21.009,0.976,103.361,6
8,-5.894,1.05E-06,91.045,6
0,-13.002,0.814,70.335,6
4,-7.382,0.00273,107.26,6
11,-9.322,0,98.025,4
10,-6.335,0,179.798,5
0,-20.697,0.745,83.194,3
0,-3.72,0.827,164.032,6
1,-29.537,0.946,83.384,5
2,-3.792,0,92.033,6
7,-9.479,0.000528,99.962,6
7,-7.881,0,105.177,6
7,-27.869,0.961,133.119,4
6,-11.368,0.179,180.083,4
5,-4.484,0.621,125.002,5
7,-4.575,0.214,109.552,5
1,-9.972,0.881,120.031,6
0,-7.429,0,150.151,4
5,-4.028,0,169.521,5
10,-7.817,0.611,135.951,4
11,-12.685,4.90E-05,132.99,5
6,-7.88,0,119.988,4
4,-12.351,2.02E-05,123.038,5
1,-35.638,0.922,74.253,6
3,-12.041,0.327,124.472,6
3,-6.78,0,103.271,5
7,-3.578,0,86.043,5
2,-7.411,1.38E-05,123.641,0
7,-10.56,0.91,118.035,5
6,-6.004,0,113.994,6
0,-15.835,1.96E-06,138.944,6
1,-27.685,0.941,199.759,6
5,-3.785,1.23E-06,130.043,5
4,-7.537,2.26E-06,116.972,6
2,-13.199,0.929,136.007,4
1,-11.24,0.00256,79.276,5
11,-29.131,0.971,122.427,5
7,-10.687,0.00056,93.503,5
9,-4.153,0,110.018,5
9,-4.104,3.70E-05,128.029,5
6,-22.118,0.684,59.551,4
5,-10.348,0.681,91.628,5
9,-24.054,0.592,72.062,5
1,-11.283,2.36E-05,105.538,0
3,-13.026,0.000156,134.52,6
8,-4.131,0.000139,124.017,4
1,-4.689,0,102.071,5
5,-14.533,0.0375,186.615,6
10,-13.396,0,95.678,5
3,-10.923,0,111.863,6
2,-21.172,0.938,104.434,5
4,-18.373,0.801,169.674,4
9,-6.047,0,135.895,5
11,-4.659,0,103.546,5
3,-6.843,0,75.012,5
10,-16.155,0.0133,129.973,5
5,-11.347,0,120.974,5
6,-6.458,0,100.98,5
7,-4.7,3.14E-05,166.484,5
0,-5.331,0,84.253,5
11,-7.827,3.37E-05,94.964,4
1,-5.715,1.28E-06,124.998,5
10,-5.471,0.837,108.02,6
2,-8.144,0,143.851,5
1,-6.961,0,97.07,5
7,-32.43,0.935,173.678,4
1,-4.563,0,169.976,5
1,-7.869,1.33E-05,124.995,4
7,-5.384,0,160.078,5
5,-12.151,0.112,167.057,5
3,-28.464,0.915,73.749,5
0,-8.267,0.000239,124.902,5
7,-5.2,0,126.004,4
5,-7.857,0,91.928,5
4,-7.168,0.000297,116.979,6
9,-5.898,0.217,123.017,5
7,-9.051,0.0267,66.214,5
9,-4.571,5.08E-05,104.016,6
4,-9.086,0,79.183,5
8,-6.85,0,136.961,5
2,-28.933,0.962,50.848,4
7,-6.078,0,94.478,6
9,-23.33,0.933,116.016,5
0,-6.126,0,76.214,5
0,-26.128,0.931,83.874,5
5,-6.875,0,133.883,6
0,-8.554,0,145.879,5
5,-9.402,0,75.248,5
7,-3.129,0,169.903,5
6,-7.956,3.29E-05,126.071,5
7,-6.576,0,102.026,6
0,-7.88,0.575,91.014,6
8,-19.888,0.417,59.994,4
9,-13.046,0.238,120.03,6
6,-31.576,0.953,70.292,5
9,-18.486,0.869,127.216,5
4,-5.741,0.000927,113.995,5
7,-7.305,0,122.057,5
4,-3.408,0,95.056,5
1,-5.003,0,110.214,5
5,-16.369,0.985,89.045,6
0,-7.641,0,80.231,5
3,-4.469,0.00261,120.271,5
1,-22.063,0.957,80.297,6
10,-8.979,0.9,125.988,5
3,-4.955,0.245,120.002,5
1,-12.923,0.838,97.272,5
6,-7.713,0.124,112.373,5
7,-11.469,0,118.535,5
6,-10.908,0.433,169.506,5
0,-9.043,0.419,129.983,5
1,-2.524,0,125.965,5
7,-3.923,0,98.022,5
6,-22.562,0.913,72.796,4
4,-5.893,1.73E-06,84.601,6
2,-18.182,0.881,92.069,4
9,-8.651,0.11,139.966,6
1,-18.229,0.133,77.519,6
5,-7.457,0.93,168.029,5
0,-13.755,0.922,120.008,5
2,-14.519,0.439,106.013,6
5,-3.604,0.0148,124.98,5
4,-6.46,0,119.827,5
7,-6.127,0,164.987,5
4,-9.574,0,109.123,6
5,-10.184,8.36E-06,103.036,6
7,-12.755,0.257,82.459,6
0,-22.987,0.922,74.45,5
3,-13.989,0.913,168.064,4
6,-3.728,0,91.011,5
7,-11.072,3.16E-05,125.004,5
3,-8.991,0,97.818,5
0,-8.724,0,86.927,5
8,-3.846,0,170.013,5
7,-5.21,0,140.967,5
6,-5.852,1.54E-06,105.39,5
4,-12.984,0.00392,114.964,5
9,-33.295,0.851,67.818,4
0,-2.969,0.000272,145.879,6
2,-3.887,0,154.988,5
0,-30.782,0.957,77.542,6
11,-4.275,0,124.944,5
6,-20.785,0.959,77.372,5
5,-15.529,0.818,120.008,4
2,-16.302,0,85.449,5
2,-19.174,0.909,164.176,5
0,-5.439,0.00379,97.586,2
7,-16.498,0.694,117.673,4
1,-3.616,3.97E-06,134.013,5
4,-5.537,4.86E-06,99.972,5
0,-4.217,0,94.885,6
0,-6.026,1.24E-05,76.991,5
5,-10.059,0.204,125.999,5
7,-6.594,0,151.891,5
4,-5.406,0.0123,181.174,5
5,-22.153,0.927,59.472,5
11,-17.374,1.63E-05,106.106,6
4,-4.046,1.02E-05,121.61,6
0,-17.224,0.241,136.951,5
9,-5.354,0.0603,130.999,5
11,-17.887,0.913,140.033,5
6,-10.9,3.36E-06,113.277,0
8,-15.961,0.838,69.854,4
6,-9.183,0,95.025,5
4,-27.261,0.96,70.663,4
6,-5.659,0.00215,154.019,5
3,-27.114,0.951,132.392,5
5,-4.733,0,115.741,5
7,-14.273,0.00846,208.399,5
9,-14.922,0.671,122.604,5
0,-3.537,0.00144,120.003,5
10,-4.246,0,159.93,5
7,-24.684,0.885,135.561,4
8,-6.904,0,89.99,5
10,-7.801,0.841,91.988,4
11,-7.167,0,103.647,5
1,-13.825,0.00574,92.274,5
11,-5.607,0.306,101.968,6
7,-10.314,0.000982,126.889,0
6,-25.507,0.959,65.255,4
5,-16.239,2.27E-06,177.279,6
5,-19.543,0.862,124.984,4
2,-33.31,0.969,58.874,5
8,-4.862,0.563,77.481,6
7,-7.318,0,99.798,6
8,-4.774,5.32E-06,147.065,5
1,-18.983,0.898,86.801,5
11,-3.201,1.16E-06,130,6
8,-10.267,0.914,79.996,4
7,-7.87,2.34E-06,79.442,6
6,-8.593,0.659,141.289,5
0,-10.886,2.97E-05,79.552,0
6,-26.367,0.882,62.078,5
11,-4.982,0,142.004,5
0,-12.628,1.08E-06,78.919,6
3,-8.978,3.24E-05,84.722,6
0,-4.315,0,171.642,5
5,-25.734,0.955,97.391,5
8,-5.035,2.30E-06,91.989,6
11,-6.849,0,99.815,4
10,-30.013,0.963,132.722,4
9,-9.272,0.00484,105.061,6
11,-5.851,0,110.184,5
3,-33.791,0.894,88.759,4
10,-21.093,0.927,104.993,5
2,-8.377,0.000246,78.924,6
5,-9.173,0.716,92.045,4
0,-14.288,0,133.93,1
2,-7.349,0.000385,86.436,6
8,-17.55,0.735,132.161,4
